A0,A1,A2,A3,B0,B1,B2,B3,C0,C1,C2,C3,D0,D1,D2,D3,E0,E1,E2,E3,F0,F1,F2,F3
0.7262573,0.17333984,3.770935,0.6244507,3.3911133,0.5797119,0.03552246,0.5402832,3.6315918,3.5794678,0.61602783,0.55493164,0.55303955,0.3604126,3.5671387,0.61383057,3.0795898,0.16156006,0.19311523,0.29901123,3.9644775,0.94866943,3.692566,0.06506348
0.7263794,0.17346191,3.770935,0.6242676,3.3909912,0.5796509,0.035461426,0.54022217,3.6315918,3.5795288,0.61602783,0.55493164,0.55303955,0.36035156,3.5671387,0.61395264,3.0795898,0.16156006,0.1930542,0.29907227,3.9644775,0.94866943,3.692505,0.06506348
0.7263794,0.17346191,3.770935,0.6242676,3.3909302,0.57958984,0.03540039,0.54016113,3.6315918,3.5795288,0.61602783,0.55493164,0.55303955,0.36035156,3.5671387,0.6138916,3.0795288,0.16149902,0.19299316,0.29907227,3.9644775,0.94866943,3.692505,6.1035156E-5
0.7263794,0.17340088,3.770935,0.6243286,3.3912354,0.579834,0.035461426,0.5402832,3.6315918,3.5794678,0.61602783,0.55493164,0.55303955,0.3604126,3.5671387,0.61383057,3.0795288,0.16149902,0.1930542,0.29907227,3.9644165,0.94866943,3.692505,0.064819336
0.7264404,0.17346191,3.770935,0.62420654,3.3912964,0.579834,0.035583496,0.54034424,3.6315918,3.5795288,0.61602783,0.55493164,0.55303955,0.36035156,3.5671387,0.6138916,3.0795288,0.16149902,0.19293213,0.29907227,3.9644165,0.94866943,3.692505,0.064819336
0.7264404,0.17346191,3.770996,0.6242676,3.3911133,0.5797119,0.03552246,0.5402832,3.6315918,3.5795898,0.61602783,0.5549927,0.55303955,0.36029053,3.5671387,0.6138916,3.0795288,0.16143799,0.19293213,0.29907227,3.9644165,0.94866943,3.692505,0.0647583
0.72631836,0.17333984,3.770996,0.62438965,3.390808,0.5795288,0.035339355,0.54016113,3.6315308,3.5795898,0.61602783,0.5549927,0.5529785,0.36029053,3.5671387,0.61395264,3.0795288,0.16149902,0.19299316,0.29907227,3.9644165,0.94866943,3.692566,0.0647583
0.7262573,0.17327881,3.770996,0.6245117,3.390808,0.5795288,0.03527832,0.5401001,3.6315308,3.5796509,0.61602783,0.5549927,0.5529785,0.36029053,3.5670776,0.61395264,3.0795288,0.16149902,0.19299316,0.29907227,3.9644775,0.94866943,3.692505,0.064697266
0.72631836,0.17333984,3.770996,0.6244507,3.3910522,0.5797119,0.035461426,0.54022217,3.6315308,3.5796509,0.61602783,0.5549927,0.55303955,0.36035156,3.5671387,0.6138916,3.0795288,0.16143799,0.19293213,0.29907227,3.9644165,0.94866943,3.692505,0.0647583
0.7264404,0.17340088,3.770996,0.6242676,3.3912354,0.57977295,0.035583496,0.54034424,3.6315308,3.5796509,0.61602783,0.5549927,0.55303955,0.36035156,3.5671387,0.6138916,3.0795288,0.16143799,0.19293213,0.29907227,3.9644165,0.94866943,3.692566,0.0647583
0.7264404,0.17346191,3.770996,0.62420654,3.3910522,0.5796509,0.03552246,0.5402832,3.6314697,3.579712,0.61602783,0.5550537,0.55303955,0.36029053,3.5671387,0.61395264,3.0795288,0.16143799,0.19293213,0.29907227,3.9644165,0.94866943,3.692566,0.064697266
0.72631836,0.17321777,3.7710571,0.6245117,3.390808,0.57940674,0.035339355,0.5402832,3.6314087,3.579773,0.61602783,0.5550537,0.55303955,0.3602295,3.5670776,0.61395264,3.0795288,0.16137695,0.1928711,0.29907227,3.9644775,0.94866943,3.692566,0.064697266
0.7262573,0.17321777,3.7710571,0.6245117,3.390686,0.5793457,0.03527832,0.54022217,3.6314697,3.579773,0.61602783,0.5550537,0.55303955,0.36029053,3.5670776,0.6138916,3.0794678,0.16137695,0.1928711,0.29907227,3.9644775,0.94866943,3.692566,0.0647583
0.72631836,0.17327881,3.770996,0.62438965,3.390686,0.5793457,0.03527832,0.54022217,3.6314697,3.579773,0.6159668,0.5550537,0.55303955,0.36029053,3.5670776,0.6138916,3.0794678,0.16131592,0.19281006,0.29907227,3.9644775,0.94866943,3.692566,0.064697266
0.7264404,0.17340088,3.770996,0.6242676,3.390808,0.57940674,0.03527832,0.5402832,3.6314087,3.579773,0.6159668,0.5550537,0.55303955,0.3602295,3.5670776,0.61395264,3.0794678,0.16131592,0.19281006,0.29907227,3.9644775,0.94866943,3.692566,0.064697266
0.7264404,0.17333984,3.7710571,0.6242676,3.3908691,0.57940674,0.035339355,0.5402832,3.6314087,3.579834,0.6159668,0.5550537,0.5529785,0.3602295,3.5670776,0.61395264,3.0794678,0.16131592,0.19281006,0.29907227,3.9644775,0.94866943,3.692566,0.06463623
0.7263794,0.17327881,3.7710571,0.62438965,3.3908691,0.57940674,0.035339355,0.5402832,3.6313477,3.579834,0.61602783,0.5550537,0.5529785,0.3602295,3.5670776,0.61395264,3.0794678,0.16131592,0.19281006,0.29907227,3.9644775,0.94866943,3.692566,0.06463623
0.72631836,0.17321777,3.7710571,0.6245117,3.390747,0.5793457,0.03527832,0.5402832,3.6313477,3.579834,0.61602783,0.5550537,0.5529785,0.3602295,3.5670776,0.61395264,3.0794678,0.16131592,0.19281006,0.29907227,3.9644775,0.94866943,3.692566,0.06463623
0.72631836,0.17321777,3.7710571,0.6244507,3.390747,0.5793457,0.03527832,0.54022217,3.6313477,3.579834,0.6159668,0.5550537,0.5529785,0.3602295,3.5670776,0.61395264,3.0794678,0.16131592,0.19281006,0.29907227,3.9644775,0.94866943,3.692566,0.06463623
0.7263794,0.17327881,3.7710571,0.62438965,3.390747,0.5793457,0.03527832,0.54022217,3.6312866,3.579956,0.61602783,0.55511475,0.5529785,0.3602295,3.5670776,0.61395264,3.0794678,0.16125488,0.19281006,0.29907227,3.9644165,0.94866943,3.692566,0.06463623
0.7264404,0.17333984,3.7710571,0.6243286,3.390808,0.57940674,0.03527832,0.5402832,3.6312866,3.579956,0.6159668,0.55511475,0.5529785,0.3602295,3.5670776,0.61395264,3.0794678,0.16125488,0.19274902,0.29907227,3.9644165,0.94866943,3.692566,0.06463623
0.7263794,0.17327881,3.7710571,0.6243286,3.390808,0.57940674,0.03527832,0.5402832,3.6312256,3.580017,0.6159668,0.55511475,0.5529785,0.36016846,3.5670166,0.61395264,3.0794678,0.16125488,0.19274902,0.29907227,3.9644165,0.94866943,3.692566,0.064575195
0.7263794,0.17321777,3.7711182,0.6244507,3.390808,0.5793457,0.03527832,0.5402832,3.6312256,3.580017,0.6159668,0.55511475,0.5529785,0.36016846,3.5670166,0.6140137,3.0794678,0.16125488,0.19274902,0.29907227,3.9644165,0.94866943,3.692566,0.064575195
0.72631836,0.17315674,3.7711182,0.6244507,3.390747,0.5793457,0.03527832,0.5402832,3.6312256,3.580017,0.6159668,0.55511475,0.5529785,0.36016846,3.5670166,0.61395264,3.0794678,0.16125488,0.19274902,0.29907227,3.9644165,0.94866943,3.692566,0.064575195
0.72631836,0.17321777,3.7710571,0.6244507,3.390747,0.5793457,0.03527832,0.54022217,3.6312256,3.580017,0.6159668,0.55511475,0.5529785,0.36016846,3.5670166,0.61395264,3.0794678,0.16125488,0.19274902,0.29907227,3.9644165,0.94866943,3.692566,0.064575195
0.7263794,0.17321777,3.7710571,0.62438965,3.390747,0.5793457,0.03527832,0.5402832,3.6312256,3.580017,0.6159668,0.55511475,0.5529785,0.36016846,3.5670166,0.6140137,3.0794678,0.16125488,0.19274902,0.2991333,3.9644165,0.94866943,3.692566,0.064575195
0.7263794,0.17321777,3.7710571,0.62438965,3.390808,0.5793457,0.03527832,0.5402832,3.6312256,3.580017,0.61602783,0.55511475,0.5529175,0.36010742,3.5670166,0.6140137,3.0794678,0.16125488,0.19274902,0.2991333,3.9644775,0.94866943,3.692566,0.06451416
0.7263794,0.17321777,3.7711182,0.6244507,3.390808,0.5793457,0.03527832,0.5402832,3.6312866,3.580017,0.61602783,0.55511475,0.5529175,0.36010742,3.5670166,0.6140137,3.0794678,0.16119385,0.19274902,0.2991333,3.9644775,0.94866943,3.692566,0.06451416
0.72631836,0.17315674,3.7711182,0.6245117,3.390747,0.5793457,0.03527832,0.5402832,3.6312256,3.580017,0.61602783,0.55511475,0.5529175,0.36016846,3.5670166,0.6140137,3.0794067,0.16101074,0.19250488,0.2991333,3.9644775,0.94866943,3.692505,0.06451416
0.7263794,0.17315674,3.7711182,0.6244507,3.390747,0.5793457,0.03527832,0.5402832,3.6312256,3.5800781,0.61602783,0.55511475,0.5529175,0.36010742,3.5670166,0.6140137,3.0794067,0.16101074,0.19250488,0.2991333,3.9644775,0.94866943,3.692505,0.06451416
0.7263794,0.17315674,3.7711182,0.6244507,3.390808,0.5793457,0.03527832,0.5402832,3.6312256,3.5800781,0.61602783,0.55511475,0.5529175,0.36010742,3.5670166,0.6140137,3.0793457,0.16101074,0.19244385,0.2991333,3.9644775,0.94866943,3.692505,0.06451416
0.7263794,0.17315674,3.7711182,0.6244507,3.390808,0.5793457,0.03527832,0.5402832,3.6312256,3.5800781,0.61602783,0.55511475,0.5529175,0.36010742,3.5670166,0.6140137,3.0793457,0.16101074,0.19250488,0.2991333,3.9644775,0.94866943,3.692505,0.06451416
0.72631836,0.17315674,3.7711182,0.6245117,3.390747,0.5793457,0.03527832,0.5402832,3.6312256,3.5800781,0.61602783,0.55511475,0.5529175,0.36010742,3.5670166,0.6140137,3.0793457,0.16101074,0.19250488,0.2991333,3.9644775,0.94866943,3.692505,0.06451416
0.72631836,0.17315674,3.7711182,0.6245117,3.390747,0.5793457,0.03527832,0.5402832,3.6312256,3.5800781,0.61602783,0.55511475,0.5529175,0.36010742,3.5670166,0.6140137,3.0793457,0.16101074,0.19250488,0.2991333,3.9644775,0.94866943,3.692505,0.064453125
0.72631836,0.17315674,3.7711182,0.6244507,3.390747,0.5793457,0.03527832,0.5402832,3.6312256,3.5800781,0.61602783,0.55511475,0.5529175,0.36010742,3.5670166,0.6140137,3.0793457,0.1609497,0.19244385,0.2991333,3.9644775,0.94866943,3.692505,0.064453125
0.7263794,0.17315674,3.7711182,0.6244507,3.390747,0.5793457,0.03527832,0.5402832,3.6312256,3.5800781,0.61602783,0.55511475,0.5529175,0.36010742,3.5670166,0.6140137,3.0793457,0.1609497,0.19244385,0.2991333,3.9644775,0.94866943,3.692505,0.064453125
0.7263794,0.17321777,3.7711182,0.6244507,3.390747,0.5793457,0.03527832,0.5402832,3.6312256,3.5801392,0.61602783,0.55511475,0.5529175,0.36010742,3.5670166,0.6140137,3.0793457,0.16101074,0.19244385,0.2991333,3.9644165,0.94866943,3.692505,0.06451416
0.72631836,0.17315674,3.7711182,0.6244507,3.390747,0.5793457,0.03527832,0.5402832,3.6312256,3.5801392,0.61602783,0.55511475,0.5529175,0.36010742,3.5670166,0.6140747,3.0793457,0.16101074,0.19250488,0.2991333,3.9644165,0.94866943,3.692505,0.064453125
0.72631836,0.17315674,3.7711182,0.6245117,3.390808,0.5793457,0.03527832,0.5402832,3.6312256,3.5801392,0.61602783,0.55511475,0.5529175,0.3600464,3.5670166,0.6140747,3.0793457,0.16101074,0.19244385,0.2991333,3.9644165,0.94866943,3.692505,0.06451416
0.72631836,0.17315674,3.7711182,0.6245117,3.390808,0.5793457,0.03527832,0.5402832,3.6312256,3.5801392,0.61602783,0.55511475,0.5529175,0.36010742,3.5670166,0.6140747,3.0793457,0.16101074,0.19244385,0.29919434,3.9644775,0.94866943,3.692505,0.06451416
0.7263794,0.17315674,3.7711182,0.6244507,3.390747,0.5793457,0.03527832,0.5402832,3.6312256,3.5801392,0.61602783,0.55511475,0.5529175,0.3600464,3.5669556,0.6140747,3.0793457,0.1609497,0.19244385,0.29919434,3.9644775,0.94866943,3.692505,0.06451416
0.7263794,0.17315674,3.7711182,0.6244507,3.390686,0.5793457,0.035217285,0.54022217,3.6311646,3.5802002,0.61608887,0.55511475,0.5529175,0.36010742,3.5670166,0.6140137,3.0793457,0.1609497,0.19244385,0.29919434,3.9644165,0.94866943,3.692505,0.064453125
0.7263794,0.17315674,3.7711182,0.6244507,3.390808,0.57940674,0.03527832,0.5402832,3.6311646,3.5802002,0.61608887,0.55511475,0.5529175,0.3600464,3.5669556,0.6140747,3.0793457,0.1609497,0.19244385,0.29919434,3.9644165,0.94866943,3.692505,0.06451416
0.7263794,0.17315674,3.7711182,0.6244507,3.390808,0.57940674,0.03527832,0.5402832,3.6311646,3.5802002,0.61608887,0.55511475,0.5529175,0.3600464,3.5669556,0.6140747,3.0793457,0.1609497,0.19244385,0.29919434,3.9644775,0.94866943,3.692505,0.064453125
0.72631836,0.1730957,3.7711182,0.6245117,3.390747,0.5793457,0.03527832,0.5402832,3.6311646,3.5802002,0.61602783,0.55511475,0.5529175,0.3600464,3.5670166,0.6140747,3.0793457,0.1609497,0.19244385,0.29919434,3.9644775,0.94866943,3.692505,0.064453125
0.72631836,0.1730957,3.7711182,0.62457275,3.390686,0.5793457,0.035217285,0.54022217,3.6311646,3.5802002,0.61602783,0.55511475,0.5529175,0.3600464,3.5669556,0.6140747,3.0793457,0.1609497,0.19244385,0.29919434,3.9644775,0.94866943,3.692505,0.064453125
0.72631836,0.1730957,3.7711182,0.6245117,3.390686,0.5793457,0.035217285,0.54022217,3.6311646,3.5802002,0.61608887,0.55511475,0.5529175,0.36010742,3.5669556,0.6140137,3.0793457,0.1609497,0.19244385,0.29919434,3.9644165,0.94866943,3.692505,0.06451416
0.7263794,0.17315674,3.7711182,0.6244507,3.390747,0.5793457,0.035217285,0.54022217,3.6311646,3.5802002,0.61608887,0.55511475,0.5529175,0.36010742,3.5670166,0.6140747,3.0793457,0.1609497,0.19244385,0.29919434,3.9644775,0.94866943,3.692505,0.064453125
0.7263794,0.17315674,3.7711182,0.6244507,3.390747,0.57940674,0.03527832,0.5402832,3.6311646,3.5802002,0.61608887,0.55511475,0.55285645,0.3600464,3.5669556,0.6140747,3.0793457,0.1609497,0.19244385,0.29919434,3.9644775,0.94866943,3.692505,0.064453125
0.72631836,0.17315674,3.7711182,0.6245117,3.390747,0.5793457,0.03527832,0.54022217,3.6311646,3.5802002,0.61608887,0.55511475,0.5529175,0.3600464,3.5669556,0.6140747,3.0793457,0.1609497,0.19244385,0.29919434,3.9644775,0.94866943,3.692505,0.064453125
0.72631836,0.1730957,3.7711182,0.62457275,3.390747,0.5793457,0.035217285,0.54022217,3.6311646,3.5802002,0.61608887,0.55511475,0.5529175,0.36010742,3.5669556,0.6140747,3.0793457,0.1609497,0.19244385,0.29919434,3.9644775,0.94866943,3.692505,0.064453125
0.72631836,0.1730957,3.7711182,0.6245117,3.390747,0.5793457,0.035217285,0.54022217,3.6311646,3.5802002,0.61608887,0.55511475,0.5529175,0.3600464,3.5669556,0.6140747,3.0793457,0.1609497,0.19244385,0.29919434,3.9644775,0.94866943,3.692505,0.064453125
0.72631836,0.17315674,3.7710571,0.6244507,3.390747,0.5793457,0.03527832,0.5402832,3.6311646,3.5802002,0.61608887,0.55511475,0.55285645,0.3600464,3.5669556,0.6140747,3.0793457,0.1609497,0.19244385,0.29919434,3.9644775,0.94866943,3.692505,0.064453125
0.72631836,0.17315674,3.7710571,0.6244507,3.390747,0.5793457,0.03527832,0.5402832,3.6311646,3.5802002,0.61608887,0.55511475,0.55285645,0.3600464,3.5669556,0.6140747,3.0793457,0.1609497,0.19250488,0.29919434,3.9644165,0.94866943,3.692505,0.064453125
0.72631836,0.17315674,3.7710571,0.6245117,3.390747,0.5793457,0.03527832,0.5402832,3.6311035,3.5802612,0.61602783,0.55511475,0.55285645,0.36010742,3.5669556,0.6140747,3.0794067,0.16101074,0.19250488,0.29919434,3.9644165,0.94866943,3.692505,0.064453125
